id,dt,name,Lon,Lat,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,numclouds,tempdiff,lon_cat,lat_cat,humidity_cat,temp_cat,pressure_cat,wind_speed_cat,wind_deg_cat
5368335,1637716160,Los Altos,-122.1141,37.3852,14.46,13.68,12.38,16.51,1016,66,0.45,301,1,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5322737,1637716160,Alameda,-122.2416,37.7652,14.8,14.09,12.65,16.77,1017,67,1.54,30,40,4.119999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5392281,1637716160,San Lorenzo,-122.1244,37.681,14.74,13.99,12.63,16.75,1016,66,1.54,310,1,4.119999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5375480,1637716160,Mountain View,-122.0838,37.3861,14.61,13.82,12.5,16.63,1016,65,0.45,301,1,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5392263,1637716160,San Leandro,-122.1561,37.7249,14.72,13.97,12.59,16.72,1017,66,0.45,307,40,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5378538,1637716160,Oakland,-122.2708,37.8044,14.81,14.12,12.62,16.75,1017,68,0.89,306,40,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5325011,1637716160,Ashland,-122.1139,37.6946,14.73,14.01,12.61,16.73,1017,67,1.54,310,1,4.120000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5376803,1637716160,Newark,-122.0402,37.5297,14.77,13.97,12.67,16.79,1016,64,1.79,36,20,4.119999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5355933,1637716160,Hayward,-122.0808,37.6688,14.56,13.74,12.45,16.58,1016,64,0.45,10,1,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5334928,1637716160,Castro Valley,-122.0863,37.6941,14.47,13.7,12.35,16.48,1016,66,0.45,9,1,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5400075,1637716160,Sunnyvale,-122.0363,37.3688,14.61,13.82,12.46,16.59,1016,65,0.45,248,1,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5404554,1637716160,Union City,-122.0192,37.5958,14.68,13.87,12.57,16.7,1016,64,1.34,350,1,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5350734,1637716160,Fremont,-121.9886,37.5483,14.72,13.89,12.59,16.72,1016,63,1.79,36,20,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5341145,1637716160,Cupertino,-122.0322,37.323,14.4,13.59,12.23,16.36,1016,65,1.79,289,75,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5327684,1637716160,Berkeley,-122.2728,37.8716,14.56,13.85,12.06,16.48,1017,68,0.45,355,40,4.42,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5322850,1637716160,Albany,-122.2978,37.8869,14.81,14.12,12.3,16.73,1017,68,0.45,170,40,4.43,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,South
5345623,1637716160,El Cerrito,-122.3116,37.9158,14.77,14.1,12.27,16.7,1016,69,0.45,83,100,4.43,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,East
5374671,1637716160,Moraga,-122.1297,37.8349,13.84,13,11.69,15.82,1016,66,3.58,26,40,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Low,North
5393485,1637716160,Saratoga,-122.023,37.2638,14.02,13.2,11.83,15.96,1016,66,0.45,338,75,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5387428,1637716160,Richmond,-122.3477,37.9358,14.8,14.11,12.3,16.73,1016,68,0.89,35,100,4.43,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5379678,1637716160,Orinda,-122.1797,37.8772,13.78,12.99,11.32,15.74,1016,68,0.45,188,1,4.42,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,South
5393015,1637716160,Santa Clara,-121.9552,37.3541,14.78,13.98,12.56,16.68,1017,64,0.45,57,75,4.119999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,East
5392567,1637716160,San Rafael,-122.5311,37.9735,14.61,14.06,12.21,16.64,1016,74,0,0,1,4.43,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5373327,1637716160,Milpitas,-121.9066,37.4283,14.88,14.09,12.67,16.79,1019,64,3.6,300,75,4.119999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Low,West
5392508,1637716160,San Pablo,-122.3455,37.9622,14.8,14.11,12.31,16.73,1016,68,0.89,35,100,4.42,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5333689,1637716160,Campbell,-121.95,37.2872,14.56,13.74,12.31,16.44,1016,64,0.45,321,75,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5364226,1637716160,Lafayette,-122.118,37.8858,14.27,13.53,12.18,16.25,1016,68,0.45,143,1,4.07,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,South
5344157,1637716160,Dublin,-121.9358,37.7021,14.06,13.19,11.96,16.09,1014,64,0.45,54,1,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,East
5368518,1637716160,Los Gatos,-121.9747,37.2266,14.25,13.43,12.01,16.11,1016,65,0.89,281,75,4.1,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,West
5392593,1637716160,San Ramon,-121.978,37.7799,13.83,13.02,11.72,15.85,1014,67,1.34,334,1,4.129999999999999,"[-125,-115)","[35,40)","[60,80)",High,Low,Very Low,North
5392171,1637716160,San Jose,-121.895,37.3394,14.8,13.98,12.53,16.66,1017,63,3.6,300,75,4.130000000000001,"[-125,-115)","[35,40)","[60,80)",High,Low,Low,West
