id,dt,name,visibility,Lon,Lat,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,numclouds
5349803,1637716160,Foothill Farms,10000,-121.3511,38.6788,14.54,13.75,11.56,15.88,1015,65,2.57,330,1
5347287,1637716160,Fair Oaks,10000,-121.2722,38.6446,14.46,13.68,11.48,15.8,1015,66,0.45,323,40
5325187,1637716160,Atwater,6437,-120.6091,37.3477,12.9,12.31,11.03,15.33,1017,79,4.63,320,1
5324105,1637716160,Antelope,10000,-121.3299,38.7082,14.44,13.64,11.52,15.84,1015,65,0.45,327,1
5337561,1637716160,Citrus Heights,10000,-121.2811,38.7071,14.4,13.67,11.51,15.83,1015,68,0.45,327,1
5379566,1637716160,Orangevale,10000,-121.2258,38.6785,14.28,13.59,11.37,15.69,1015,70,0.45,323,40
5354172,1637716160,Greenfield,10000,-121.2438,36.3208,14.42,12.2,11.7,16.44,1015,11,4.92,360,100
5349705,1637716160,Folsom,10000,-121.1761,38.678,14.25,13.58,11.4,15.73,1015,71,0.45,323,40
5388881,1637716160,Roseville,10000,-121.288,38.7521,14.32,13.58,11.17,15.83,1016,68,0.89,293,1
5372253,1637716160,Merced,8047,-120.483,37.3022,12.96,12.35,10.99,16.31,1015,78,2.68,289,1
5345679,1637716160,El Dorado Hills,10000,-121.0822,38.6857,13.01,12.3,10.27,14.6,1016,74,0.45,319,24
5388319,1637716160,Rocklin,10000,-121.2358,38.7907,14.03,13.29,11.35,15.67,1017,69,0.89,293,1
5353530,1637716160,Granite Bay,10000,-121.1638,38.7632,13.69,12.99,10.68,15.58,1016,72,2.12,341,19
5333282,1637716160,Cameron Park,10000,-120.9872,38.6688,12.19,11.48,9.46,13.88,1013,77,0.45,315,17
5366375,1637716160,Lincoln,10000,-121.293,38.8916,14.03,13.37,11.17,16.07,1016,72,2.57,330,1
5404476,1637716160,Ukiah,10000,-123.2078,39.1502,11.33,9.85,8.75,14.21,1019,51,1.54,130,1
5397851,1637716160,South Yuba City,10000,-121.6391,39.1166,14.01,13.03,11.73,16.05,1017,60,3.09,320,1
5411015,1637716160,Yuba City,10000,-121.6169,39.1405,13.98,13,11.72,16.03,1017,60,3.09,320,1
5366531,1637716160,Linda,10000,-121.5508,39.1277,13.93,12.95,11.37,16.03,1017,60,3.09,320,1
5336667,1637716160,Chowchilla,8047,-120.2602,37.123,13.09,12.44,11.88,17.1,1016,76,3.09,300,1
5369568,1637716160,Madera,8047,-120.0607,36.9613,13.28,12.28,11.14,17.05,1016,62,3.09,300,1
5379759,1637716160,Oroville,10000,-121.5564,39.5138,13.85,13.01,11.17,15.1,1016,66,2.06,300,1
5336269,1637716160,Chico,10000,-121.8375,39.7285,14.48,13.21,13.08,15.03,1016,47,1.34,3,16
5381002,1637716160,Paradise,10000,-121.6219,39.7596,11.07,9.41,9.95,11.9,1017,45,2.39,18,8
5381438,1637716160,Paso Robles,10000,-120.691,35.6266,14.91,13.45,11.59,17.16,1014,38,3.09,320,1
5325327,1637716160,Avenal,10000,-120.129,36.0041,12.43,10.59,9.9,17.83,1014,33,2.92,356,100
5325111,1637716160,Atascadero,10000,-120.6707,35.4894,14.17,12.71,11.32,16.89,1013,41,2.3,40,98
5403676,1637716160,Truckee,10000,-120.1833,39.328,4.72,2.98,0.45,7.06,960,48,2.06,10,1
5392323,1637716160,San Luis Obispo,10000,-120.6596,35.2827,14.93,14.36,12.59,18.16,1013,72,2.68,177,1
5324802,1637716160,Arroyo Grande,10000,-120.5907,35.1186,15.25,14.4,12.73,17.73,1014,60,1.34,13,1
5377100,1637716160,Nipomo,10000,-120.476,35.0428,14.96,13.95,12.31,17.3,1013,55,0.89,307,1
5509851,1637719773,Pahrump,10000,-115.9839,36.2083,13.63,11.52,11.29,15.59,916,18,0.89,272,0
5343171,1637719773,Dinuba,10000,-119.3871,36.5433,11.42,9.64,8.83,14.54,1015,39,2.27,333,70
5386984,1637719773,Reedley,10000,-119.4504,36.5963,11.54,9.82,8.81,14.52,1015,41,2.8,324,82
5338683,1637719773,Collins (historical),10000,-119.6207,36.8663,12.28,11.63,9.7,14.76,1015,79,0,0,20
5392868,1637719773,Sanger,10000,-119.556,36.708,12.16,11.31,9.83,14.28,1016,72,0,0,20
5406567,1637719773,Visalia,10000,-119.2921,36.3302,11.46,10.85,8.84,14.55,1015,84,1.34,271,1
5384471,1637719773,Porterville,10000,-119.0168,36.0652,11.02,10.16,10.29,12.55,1016,76,0,0,1
5338122,1637719773,Clovis,10000,-119.7029,36.8252,12.5,11.87,9.85,14.91,1015,79,0,0,20
5387494,1637719773,Ridgecrest,10000,-117.6709,35.6225,15.4,13.49,14.82,16.33,1010,19,1.34,65,40
5394329,1637719773,Selma,10000,-119.6121,36.5708,11.75,10.08,8.88,14.03,1015,42,3.98,319,91
5350937,1637719773,Fresno,10000,-119.7724,36.7477,12.68,12.07,9.97,15.03,1015,79,0,0,20
5403783,1637719773,Tulare,10000,-119.3473,36.2077,11.65,11.06,10.61,12.9,1011,84,0.45,285,1
5355180,1637719773,Hanford,10000,-119.6457,36.3275,11.88,10.14,10.68,14.15,1015,39,3.58,326,89
5339539,1637719773,Corcoran,10000,-119.5604,36.098,11.87,10.08,10.77,13.05,1015,37,2.81,338,65
5365918,1637719773,Lemoore,10000,-119.7829,36.3008,12.23,11.26,10.73,14.19,1016,67,4.63,330,40
7262622,1637719775,Summerlin South,10000,-115.3811,36.1027,12.12,10.09,9.9,13.96,1009,27,1.72,323,0
5342485,1637719773,Delano,10000,-119.247,35.7688,11.97,11.08,8.87,13.32,1016,71,0,0,1
5512909,1637719773,Spring Valley,10000,-115.245,36.108,14.45,12.58,12.19,16.25,1011,24,0.45,0,20
5509403,1637719773,North Las Vegas,10000,-115.1175,36.1989,15.48,13.66,13.21,17.27,1011,22,2.06,250,1
5506956,1637719773,Las Vegas,10000,-115.13720000000001,36.175,15.2,13.4,12.91,16.97,1011,24,2.06,250,1
5513343,1637719773,Sunrise Manor,10000,-115.0731,36.2111,15.54,13.75,13.26,17.33,1011,23,0.45,353,1
5503766,1637719773,Enterprise,10000,-115.2419,36.0252,14.14,12.26,11.83,15.89,1013,25,1.79,268,20
5515345,1637719773,Winchester,10000,-115.1189,36.13,15.57,13.78,13.06,17.12,1011,23,1.34,170,20
5509952,1637719773,Paradise,10000,-115.1467,36.0972,15.4,13.62,12.81,16.87,1011,24,1.34,170,20
5515110,1637719773,Whitney,10000,-115.0842,36.0708,15.78,14.04,13.03,17.09,1011,24,1.34,170,20
5550368,1637719773,Wasco,10000,-119.341,35.5941,13.15,12.37,11.22,16.18,1016,71,0,0,1
5378870,1637719773,Oildale,8047,-119.0195,35.4197,14.06,13.14,10.93,16.04,1014,62,3.09,350,1
5397664,1637719773,South Lake Tahoe,10000,-119.9844,38.9332,2.85,0.8,-4.01,4.94,1019,47,2.06,190,1
5501344,1637719773,Carson City,10000,-119.7674,39.1638,6.13,3.77,-0.91,8.05,1019,38,3.13,331,1
5325738,1637719773,Bakersfield,8047,-119.0187,35.3733,14.32,13.43,11.82,16.18,1014,62,1.34,321,1
5394842,1637719773,Shafter,10000,-119.2718,35.5005,13.7,12.04,11.18,16.29,1015,35,2.06,331,67
5364916,1637719773,Lamont,10000,-118.9143,35.2597,14.83,13.99,11.82,16.68,1015,62,2.07,319,57
5504003,1637719773,Fernley,10000,-119.2518,39.608,6.28,4.28,4.73,9.06,1020,36,2.68,278,7
5324903,1637719773,Arvin,10000,-118.8284,35.2091,14.91,13.61,13.07,19.56,1015,44,1.46,300,67
5512862,1637719773,Sparks,10000,-119.7527,39.5349,6.04,4.08,2.14,8.56,1019,40,2.57,350,20
5511077,1637719773,Reno,10000,-119.8138,39.5296,5.8,5.07,-0.57,8.39,1019,40,1.34,15,20
5513307,1637719773,Sun Valley,10000,-119.776,39.5963,5.35,5.35,1.54,7.96,1020,40,0.45,51,20
5512827,1637719773,Spanish Springs,10000,-119.7074,39.6491,5.7,5.7,1.93,8.36,1020,38,0.45,40,1
5536630,1637719773,Cedar City,10000,-113.0619,37.6775,6.85,5.47,5.66,7.44,1014,31,2.06,200,1
5549222,1637719773,Washington,10000,-113.5083,37.1305,11.88,9.91,11.18,13.93,1014,30,0.45,339,1
5546220,1637719773,Saint George,10000,-113.5841,37.1041,12,10.04,11.33,14.08,1014,30,0.45,339,1
5508180,1637719773,Mesquite,10000,-114.0672,36.8055,13.53,11.62,11.32,16.27,1011,26,0.67,149,11
5294810,1637719773,Flagstaff,10000,-111.6513,35.1981,5.33,3.98,3.71,7.29,956,89,1.79,277,90
5500539,1637719773,Boulder City,10000,-114.8325,35.9786,14.43,12.45,12.38,15.96,1012,20,3.09,20,1
5505411,1637719773,Henderson,10000,-114.9819,36.0397,15.94,14.19,13.23,17.29,1012,23,3.09,20,1
5301067,1637719773,Kingman,10000,-114.053,35.1894,13.42,11.97,10.72,16.61,1013,44,5.66,210,20
5287565,1637719773,Bullhead City,10000,-114.5683,35.1478,17.66,16.08,16.17,20.34,997,23,2.57,110,1
5420241,1637719773,Durango,10000,-107.8801,37.2753,3.04,1.66,0.74,7.47,1016,91,1.54,70,90
5467328,1637719773,Farmington,10000,-108.2187,36.7281,5.05,3.37,4.66,5.38,1017,93,2.06,60,90
5431710,1637719773,Montrose,10000,-107.8762,38.4783,6.03,3.68,5.23,6.9,1016,61,3.09,260,90
5417258,1637719773,Clifton,10000,-108.449,39.0919,3.38,3.38,1.23,9.38,1015,57,0,0,1
5423573,1637719773,Grand Junction,10000,-108.5507,39.0639,3.08,3.08,1.49,9.63,1015,58,0,0,1
5416005,1637719773,Canon City,10000,-105.2424,38.441,11.82,9.84,6.91,15.51,1008,30,5.66,290,1
5490263,1637719773,Santa Fe,10000,-105.9378,35.687,6.44,6.44,4.88,9.21,1015,39,0.45,28,90
5468773,1637719773,Gallup,10000,-108.7426,35.5281,8.27,8.27,7.42,8.91,1020,62,0.89,283,90
7839240,1637719775,Enchanted Hills,10000,-106.593,35.3368,9.44,8.04,8.01,12.56,951,34,2.68,225,83
5487811,1637719773,Rio Rancho,10000,-106.6645,35.2334,9.49,9.25,8.06,11.8,1016,35,1.34,329,75
5454711,1637719773,Albuquerque,10000,-106.6511,35.0845,10.13,8.14,8.69,12.43,1018,36,1.54,120,75
5492450,1637719773,South Valley,10000,-106.6781,35.0101,10.17,8.16,8.75,12.5,1017,35,1.54,120,75
5427207,1637719773,Ken Caryl,10000,-105.1169,39.5773,12.01,9.87,5.72,15.53,1005,23,0.45,270,98
5417657,1637719773,Columbine,10000,-105.0694,39.5878,12.54,10.45,6.23,16.04,1005,23,0.45,270,75
5429032,1637719773,Littleton,10000,-105.0166,39.6133,12.92,10.87,6.59,16.4,1005,23,0.45,270,75
5423294,1637719773,Golden,10000,-105.2211,39.7555,12.33,10.27,5.9,15.71,985,25,4.47,269,75
5427946,1637719773,Lakewood,10000,-105.0814,39.7047,12.77,10.73,6.27,16.07,986,24,1.79,276,100
5443948,1637719773,Wheat Ridge,10000,-105.0772,39.7661,12.99,10.95,6.39,16.2,989,23,2.68,264,75
5412199,1637719773,Arvada,10000,-105.0875,39.8028,13.25,11.23,6.63,16.44,990,23,2.68,264,75
5443910,1637719773,Westminster,10000,-105.0372,39.8367,13.19,11.17,6.51,16.31,984,23,1.79,293,75
5438567,1637719773,Sherrelwood,10000,-105.0014,39.8378,13.41,11.38,6.71,16.52,1004,22,4.02,278,75
5415035,1637719635,Broomfield,10000,-105.0866,39.9205,13.21,11.16,6.5,16.31,1006,22,7.72,250,75
5429522,1637719773,Louisville,10000,-105.1319,39.9778,13.25,11.21,6.59,16.4,1006,22,1.34,255,75
5427771,1637719773,Lafayette,10000,-105.0897,39.9936,13.6,11.56,6.86,16.67,1006,21,2.68,188,1
5445820,1637719773,Liberal,10000,-100.921,37.0431,16.16,14.64,16.08,17.57,1005,31,8.23,190,1
5445439,1637719773,Garden City,10000,-100.8727,37.9717,13.08,11.12,9.95,16.14,1003,26,3.6,150,1
5435464,1637719773,Pueblo,10000,-104.6091,38.2545,14.91,12.93,10.96,16.84,1005,18,7.72,320,1
5435477,1637719773,Pueblo West,10000,-104.7227,38.35,13.57,11.64,7.48,16.08,1003,25,5.93,283,68
5445298,1637719773,Dodge City,10000,-100.0171,37.7528,16.19,14.75,13.73,17.58,1004,34,4.92,158,1
5422191,1637719773,Fountain,10000,-104.7008,38.6822,12.48,10.65,6.52,15.12,1008,33,3.09,300,75
7262349,1637719775,Security-Widefield,10000,-104.7144,38.7473,11.97,10.06,5.99,14.59,1007,32,1.34,255,75
5417041,1637719773,Cimarron Hills,10000,-104.6989,38.8586,10.73,8.69,4.73,13.33,1009,32,3.09,300,75
5417598,1637719773,Colorado Springs,10000,-104.8214,38.8339,11.43,9.57,5.61,14.21,1005,36,0.45,350,75
5527953,1637719773,Pampa,10000,-100.9599,35.5362,16.52,15.25,15.3,18.53,1009,39,7.2,190,1
5516233,1637719773,Amarillo,10000,-101.8313,35.222,16.04,14.69,14.64,17.8,1009,38,3.13,239,1
5416329,1637719773,Castle Rock,10000,-104.8561,39.3722,10.76,8.6,5.13,13.73,1000,27,2.24,220,91
5434006,1637719773,Parker,10000,-104.7614,39.5186,11.55,9.36,8.2,13.65,1006,23,0.45,58,75
5416541,1637719773,Centennial,10000,-104.8769,39.5792,11.81,9.62,8.25,15.43,995,22,2.06,210,75
5416357,1637719773,Castlewood,10000,-104.9011,39.5847,12.05,9.91,8.46,15.64,1004,23,2.06,210,75
5425043,1637719773,Highlands Ranch,10000,-104.9694,39.5539,12.15,10.02,8.55,15.73,1004,23,0.45,272,75
5439752,1637719773,Southglenn,10000,-104.9528,39.5872,12.43,10.33,8.79,15.97,1004,23,0.45,254,75
5412347,1637719773,Aurora,10000,-104.8319,39.7294,12.9,10.79,9.1,16.28,989,21,0.45,169,75
5421250,1637719773,Englewood,10000,-104.9878,39.6478,12.92,10.84,6.54,16.34,1004,22,0.45,254,75
5419384,1637719773,Denver,10000,-104.9847,39.7392,13.26,11.22,6.73,16.53,1003,22,0.45,276,100
5417737,1637719773,Commerce City,10000,-104.9339,39.8083,13.6,11.56,9.59,16.77,1005,21,0.45,276,75
5441492,1637719773,Thornton,10000,-104.9719,39.868,13.37,11.34,6.64,16.45,1004,22,4.02,278,75
